game_name,metascore,critic_reviews,user_score,user_score_rating,developer,game_genre,num_players,Cheats,rating_number
The Legend of Zelda: Breath of the Wild,97,109,8.7,18366,Nintendo,"Action Adventure,Open-World",No Online Multiplayer,On GameFAQs,E10+
Super Mario Odyssey,97,113,8.9,6636,Nintendo,"Action,Platformer,3D",No Online Multiplayer,On GameFAQs,E10+
The House in Fata Morgana - Dreams of the Revenants Edition -,96,10,8.4,636,HuneX,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,M
Tetris Effect: Connected,94,22,8.2,70,Monstars Inc.,"Puzzle,Stacking",,On GameFAQs,
Hades,93,48,9,710,Supergiant Games,"Action Adventure,General,Linear",No Online Multiplayer,On GameFAQs,T
Divinity: Original Sin II - Definitive Edition,93,18,8.4,330,"Larian Studios Games,BlitWorks,The Dragon Commanders","Role-Playing,Western-Style",Up to 4,On GameFAQs,M
Ori and the Will of the Wisps,93,24,8.7,376,Moon Studios,"Action,Platformer,2D,Metroidvania",No Online Multiplayer,On GameFAQs,E
Undertale,93,8,8.2,464,"tobyfox,8-4","Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,E10+
Super Smash Bros. Ultimate,93,99,8.6,3385,"Nintendo,HAL Labs,Bandai Namco Games,Sora Ltd.","Action,Fighting,2D",Up to 8,On GameFAQs,E10+
Celeste,92,36,8.6,1000,Matt Makes Games Inc.,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Bayonetta 2,92,31,8.5,508,"Nintendo,PlatinumGames","Action Adventure,Linear",No Online Multiplayer,On GameFAQs,M
Mario Kart 8 Deluxe,92,95,8.6,2365,Nintendo,"Other,Racing,Arcade,Automobile",Up to 12,On GameFAQs,E
INSIDE,91,30,8.6,261,PLAYDEAD,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,M
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91,50,8.6,687,Square Enix,"Role-Playing,Japanese-Style",No Online Multiplayer,On GameFAQs,T
Sonic Mania Plus,91,24,8.1,351,"Sega,Tantalus","Action,Platformer,2D",Up to 4,On GameFAQs,E
SteamWorld Heist: Ultimate Edition,91,9,8.2,179,Image & Form,"Strategy,Turn-Based,General",No Online Multiplayer,On GameFAQs,E10+
Shovel Knight: Treasure Trove,91,17,8.3,490,Yacht Club Games,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E
Animal Crossing: New Horizons,90,111,5.6,6380,Nintendo,"Simulation,Virtual,Virtual Life",Up to 8,On GameFAQs,E
Ori and the Blind Forest: Definitive Edition,90,20,8.6,385,Moon Studios,"Action,Platformer,2D,Metroidvania",No Online Multiplayer,On GameFAQs,E
Chicory: A Colorful Tale,90,7,6.9,15,Team Chicory,"Adventure,General",,On GameFAQs,
Bastion,90,7,7.7,142,Supergiant Games,"Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,E10+
Hollow Knight,90,27,9,1654,Team Cherry,"Action,Action Adventure,General,Platformer",No Online Multiplayer,On GameFAQs,E10+
Bayonetta + Bayonetta 2,90,27,8.7,376,PlatinumGames,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,M
Xenoblade Chronicles: Definitive Edition,89,92,8.8,1125,Monolith Soft,"Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,T
Dead Cells,89,36,8.4,405,Motion Twin,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,T
Into the Breach,89,15,7.8,163,Subset Games,"Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,E10+
Super Mario 3D World + Bowser's Fury,89,122,8.7,634,Nintendo,"Action,Platformer,3D",Up to 4,On GameFAQs,E
Fire Emblem: Three Houses,89,102,8.8,2598,"Intelligent Systems,Koei Tecmo Games","Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,T
13 Sentinels: Aegis Rim,89,25,8.9,36,Vanillaware,"Adventure,General",No Online Multiplayer,On GameFAQs,T
Okami HD,89,32,8.4,214,Capcom,"Action Adventure,General",No Online Multiplayer,On GameFAQs,T
Death's Door,89,11,8.1,61,Acid Nerve,"Action Adventure,General",,On GameFAQs,T
A Short Hike,88,17,8.6,163,adamgryu,"Adventure,General",No Online Multiplayer,On GameFAQs,E
Fez,88,13,7,43,Polytron Corp.,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,
DUSK,88,14,8.4,29,New Blood Interactive,"Action,Shooter,First-Person,Arcade",,On GameFAQs,M
Hyper Light Drifter,88,21,7.8,113,Heart Machine,"Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,T
What Remains of Edith Finch,88,7,7.8,103,Giant Sparrow,"Adventure,3D,First-Person",No Online Multiplayer,On GameFAQs,T
Metroid Dread,88,124,8.7,2387,"Mercury Steam,Nintendo","Action,Action Adventure,Platformer,Open-World",No Online Multiplayer,On GameFAQs,T
Super Mario Maker 2,88,98,8.5,879,Nintendo,"Action,Platformer,2D",Up to 4,On GameFAQs,E
Monster Hunter Rise,88,122,8.9,741,Capcom,"Role-Playing,Action RPG",Up to 4,On GameFAQs,T
Downwell,88,11,7.3,95,Moppin,"Action,General",No Online Multiplayer,On GameFAQs,E10+
Diablo III: Eternal Collection,88,61,7.3,311,Blizzard Entertainment,"Role-Playing,Action RPG",Up to 4,On GameFAQs,M
SteamWorld Dig 2,88,38,8.5,355,Image & Form,"Action,Action Adventure,General,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Ikaruga,88,25,7.7,62,"Treasure,Zereo","Action,Shooter,Shoot-'Em-Up,Vertical",No Online Multiplayer,On GameFAQs,E10+
Cave Story +,88,12,7.9,171,Nicalis,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Stardew Valley,87,14,8.7,600,ConcernedApe,"Role-Playing,General",No Online Multiplayer,On GameFAQs,E10+
Quake Remastered,87,8,8.2,37,"id Software,MachineGames","Action,Shooter,First-Person,Arcade",Up to 8,On GameFAQs,M
