game_name,view_count,like_count,favourite_count,comment_count
The Legend of Zelda: Breath of the Wild,494255550,5406500,0,394000
Super Mario Odyssey,1228936300,4142100,0,177300
Tetris Effect: Connected,68618850,757700,0,99600
Hades,94796200,1626750,0,75250
Divinity: Original Sin II - Definitive Edition,69509850,504050,0,34350
Ori and the Will of the Wisps,101854000,896850,0,54150
Undertale,368591650,3901850,0,321550
Super Smash Bros. Ultimate,426536100,4862500,0,410700
Celeste,566982900,6634350,0,229850
Bayonetta 2,5186100,68950,0,3650
Mario Kart 8 Deluxe,19784100,62850,0,3200
INSIDE,190401950,1746300,0,137900
Sonic Mania Plus,65527250,257850,0,7950
SteamWorld Heist: Ultimate Edition,2023800,16050,0,3900
Shovel Knight: Treasure Trove,20640150,256650,0,22200
Animal Crossing: New Horizons,1212400,62250,0,7450
Ori and the Blind Forest: Definitive Edition,6977950,72500,0,5000
Chicory: A Colorful Tale,3831500,76100,0,3450
Bastion,1081578450,21663800,0,2920100
Hollow Knight,4411950,382350,0,18200
Bayonetta + Bayonetta 2,8437150,133700,0,24300
Xenoblade Chronicles: Definitive Edition,25928900,167650,0,126650
Dead Cells,10943650,340650,0,16950
Into the Breach,31977650,273450,0,15850
Super Mario 3D World + Bowser's Fury,383322200,5154150,0,641550
Fire Emblem: Three Houses,49017050,1017250,0,109950
13 Sentinels: Aegis Rim,1747600,60400,0,7600
Okami HD,16622250,276650,0,29100
Death's Door,23927600,412700,0,20950
A Short Hike,18358750,567850,0,29650
Fez,72286500,1310600,0,70350
DUSK,62327550,1921300,0,79800
Hyper Light Drifter,23346250,236650,0,31400
What Remains of Edith Finch,129424400,4637400,0,476150
Metroid Dread,55181450,1240950,0,95000
Super Mario Maker 2,120469500,344000,0,13700
Monster Hunter Rise,3383500,121100,0,18700
Downwell,24499500,963800,0,31000
Diablo III: Eternal Collection,30519650,308350,0,38050
SteamWorld Dig 2,15359750,140250,0,9800
Ikaruga,30521650,218500,0,31500
Cave Story +,4179050,42300,0,4600
Stardew Valley,101171800,4072100,0,79450
Quake Remastered,3206650,109500,0,24050
Cuphead,1162960150,9971000,0,208000
Astral Chain,46024250,662050,0,91800
Dragon Ball FighterZ,86419050,1191800,0,136250
Kentucky Route Zero: TV Edition,14026650,149550,0,9000
Guacamelee! 2,11935900,146750,0,11750
Enter the Gungeon,37063500,507000,0,28600
The Legend of Zelda: Link's Awakening,160731500,1164850,0,89850
Super Mega Baseball 3,8138450,84050,0,11950
Overcooked! All You Can Eat,13714000,146700,0,10650
OlliOlli World,16786250,302800,0,13450
Axiom Verge,17069000,107550,0,21050
Grindstone,1485084400,8756000,0,191800
Katamari Damacy REROLL,12397550,192750,0,18700
Owlboy,20003850,232000,0,17950
Velocity 2X,6748550,62850,0,10450
Streets of Rage 4,194155800,12215600,0,1312400
There is no game : Wrong dimension,793603650,29179450,0,1675200
Iconoclasts,13938200,114550,0,9650
Bustafellows,1753150,52900,0,3700
Rocket League,813200,12400,0,1150
The Great Ace Attorney Chronicles,3945150,107500,0,13900
Overboard!,61636750,258500,0,20800
The Messenger,54559650,777450,0,110776
Disco Elysium: The Final Cut,32302700,514200,0,29600
Unpacking,33774450,841050,0,51050
Donkey Kong Country: Tropical Freeze,27698150,224700,0,13400
Monster Boy and the Cursed Kingdom,5923850,76200,0,17300
Transistor,800445200,5441050,0,107350
Minecraft,16675750,728561,0,36250
Shantae and the Pirate's Curse,21532600,191650,0,21200
Guacamelee! Super Turbo Championship Edition,1919850,32400,0,8850
Star Wars Pinball,661600,4850,0,150
Sid Meier's Civilization VI,194828700,2365150,0,126150
Crypt of the NecroDancer: Nintendo Switch Edition,11889600,235300,0,22350
Warframe,167200,4350,0,2100
Luigi's Mansion 3,944641500,4023500,0,228000
AI: The Somnium Files,2159900,131850,0,13750
Assault Android Cactus+,1377700,14750,0,1450
Sumire,26238350,392650,0,66900
Huntdown,13331750,344300,0,25000
BlazBlue: Central Fiction - Special Edition,2839900,82900,0,16100
Sonic Mania,148638150,1097400,0,82950
Mini Metro,44610600,1585250,0,38950
Thumper,10840400,104100,0,8300
Kingdom Two Crowns,6607500,132500,0,6200
Blaster Master Zero II,4145500,37850,0,8550
Final Fantasy XII: The Zodiac Age,40453000,702850,0,151550
Slay the Spire,10991600,250150,0,24000
Bug Fables: The Everlasting Sapling,2635850,76600,0,9250
Night in the Woods,379551450,8331350,0,1073000
The Binding of Isaac: Afterbirth +,94221300,2279250,0,87800
The Witcher 3: Wild Hunt - Complete Edition,24428100,305800,0,48100
Two Point Hospital,14690550,220400,0,9200
Tony Hawk's Pro Skater 1 + 2,70559000,1688450,0,144500
Doki Doki Literature Club Plus!,217652550,12394450,0,750200
Pikmin 3 Deluxe,12711950,210900,0,24400
